cell_type,mut_median,wt_median,log2_FC,pvalue
Endothelial,1.1497189575881452,0.7626274231577642,1.2196105253695093,0.19047619047619047
NK,8.205128205128204,3.16286071646119,2.2112505875414925,0.2857142857142857
MDSC,0.3065917220235054,0.2507147960961096,1.0446759933614012,0.2857142857142857
B,1.8488308863512777,6.161296821577141,0.39780935734540274,0.4126984126984127
pDC,1.8488308863512777,1.227914029880726,1.2786987505544787,0.4126984126984127
TAM,13.536463536463536,8.091870430925557,1.598841915632504,0.4126984126984127
Plasma,1.0955710955710956,3.6501752595758568,0.4506434658039605,0.4126984126984127
Mast,0.32634032634032634,0.17616599344333722,1.127681240347155,0.5555555555555556
Treg,0.08156606851549755,0.1267683616382833,0.95988324249976,0.5555555555555556
Monocyte,1.430761369443025,1.9198508303058843,0.8324950522175744,0.7301587301587302
T_CD8,23.491027732463294,28.55252124795986,0.8287288765304253,0.9047619047619049
T_CD4,16.666666666666664,18.7577876551628,0.8941621893608257,0.9047619047619049
Malignant_epi,17.48232735182164,17.523243465510866,0.9977910934569635,0.9047619047619049
Fibroblast,1.3499480789200415,2.074153911363843,0.7644210884280322,1.0
