gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
CCL2,22.235665756360174,2.160557216896651,0.4497786406834621,4.80360119727689,1.55837069955395e-06,0.01643146065609685
STC1,22.723212915759117,-1.983197175058723,0.4372302281565451,-4.535818997282737,5.738037637348271e-06,0.030250934424100085
GDF15,9.432529913710683,3.4075637360485596,0.8007894739736472,4.25525540332052,2.088105229061827e-05,0.07338993845075967
CEBPD,17.34069502579246,1.7301731427078735,0.43724852536325476,3.9569559240262513,7.591093058242967e-05,0.2001012130152846
PIGR,6.429696091184265,4.128173204893001,1.1082696930972178,3.724881435092059,0.00019540704222968119,0.4120743706539517
HSPA1A,85.26634201654012,0.7733571948971691,0.21821120860145662,3.5440764012706483,0.0003939910559035019,0.5192802116808155
OLR1,7.9113883932058435,4.321496781423016,1.2106198833072663,3.5696562075432072,0.00035745002291202274,0.5192802116808155
NOS3,9.835052874692044,-1.5980557795634127,0.4508804197066495,-3.5443006831015973,0.0003936560221866146,0.5192802116808155
FOLH1,4.138479337468203,-3.7902107197676647,1.0829931846526497,-3.4997549139547965,0.00046568610628865636,0.5455771449675103
XIST,4.482148365788993,5.106445650315893,1.6003418959889215,3.1908466953934216,0.0014185652978551842,0.9076420270744405
TXLNGY,2.6183949077625233,-4.671695706617384,1.4189353210851279,-3.2923951058211123,0.000993379462385885,0.9076420270744405
SLC45A4,4.072177934294967,-2.7404605077947757,0.8446364726618522,-3.2445443649364067,0.00117638690574342,0.9076420270744405
ITM2A,34.74448139649635,1.0194344212732964,0.320390621096447,3.1818485128702214,0.001463383389630642,0.9076420270744405
IGFBP3,19.417208239489266,-1.758440703614078,0.5464690878871442,-3.217822824000665,0.0012916757972641854,0.9076420270744405
G0S2,6.000548588784783,3.069410565476163,0.964484972962993,3.1824348243048632,0.001460423810462138,0.9076420270744405
FGG,2.4719216223485856,-5.51379900468523,1.6559527878954965,-3.3296836993115972,0.0008694469037989227,0.9076420270744405
CAV1,52.52902293353571,0.8406608874563108,0.26274865886130405,3.199486882633592,0.0013767245195992117,0.9076420270744405
RAB27A,9.277182433050472,0.28819657193495346,0.5230475471934041,0.5509949783368141,0.5816371169717282,0.9999031272910693
RAB11FIP5,2.0011645121865946,0.23320258530972374,0.955250876009207,0.2441270572647725,0.8071324177309239,0.9999031272910693
RAB12,15.27675862376011,0.3412595769605929,0.41952305190717737,0.8134465446158585,0.41596208261983925,0.9999031272910693
RAB13,16.606518498775827,-0.5366572775699583,0.36762142009373,-1.4598095982359525,0.14434240990846106,0.9999031272910693
RAB14,13.960555687232517,-0.49173424797210047,0.3773859170606663,-1.30300105473478,0.19257440147742633,0.9999031272910693
PURB,14.416721191028497,-0.006173090007004246,0.4356873076527278,-0.014168624833855881,0.9886954512297522,0.9999031272910693
PUS1,1.6452170280519445,-0.7891019767926143,1.0831656732266655,-0.7285145719601153,0.466298651781869,0.9999031272910693
