gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
SLC16A14,52.143312749980765,-6.032388605481448,0.8593993884482958,-7.01930753799271,2.2297051841083877e-12,3.188924354311816e-08
FGG,302.22148444728936,-10.5598126779076,1.7004446074166228,-6.2100303837303175,5.297435776809e-10,3.7881963239961157e-06
PAEP,57.96642881719702,-7.156499297128372,1.1821954246308721,-6.053567073618909,1.416730424915759e-09,6.754026179048395e-06
MMP7,178.57664478531848,2.175642854828352,0.3965999902659365,5.485736026794894,4.117513759354734e-08,0.00014722170446572851
BPIFA2,65.11473063493737,-6.049687201088478,1.134217470920506,-5.333798284890362,9.617936297742646e-08,0.00027511144986063066
GPX2,96.88582834106523,-5.758332739458508,1.091415083385155,-5.276024518186378,1.3201643304555904e-07,0.00031468317090293087
FKBP10,20.925607404844115,-4.787484435855576,0.9559224047683738,-5.008235409039936,5.493132373517713e-07,0.0011223254172292906
MSMB,33.22008207001657,-5.069271637063077,1.0259882125587123,-4.940867326751073,7.777581941528125e-07,0.0013904372115966907
OPN3,18.83262440563098,-3.8539064837727204,0.7839188041386942,-4.916206198175177,8.82374587295918e-07,0.0014021912608340244
LPAR1,30.321391054383906,-2.8366089856872376,0.5923797917966656,-4.7884972191301625,1.6803489180753476e-06,0.002403235022631362
SOX13,43.19312940541943,1.8561385199318998,0.39789902473337413,4.6648481261688675,3.0884505711919246e-06,0.004015547279016991
MEGF11,20.48287384138252,6.691988159930325,1.4518489657390585,4.609286721862142,4.04052786746325e-06,0.00481563579670495
CASC15,34.48251074241176,-4.0519106379123775,0.884904849586688,-4.578922400306543,4.673775384321768e-06,0.005141871965120764
GPX7,19.300567827207786,3.023017868233681,0.6759331816563182,4.472361988245681,7.736032761661612e-06,0.007902910039806027
XIST,77.07576360021284,9.38348427238201,2.1555568256436652,4.353160241822914,1.3418899220980794e-05,0.012794473110564489
PLA2G2A,20.20055248698766,-6.20710118946282,1.4518496862646766,-4.275305665721133,1.9087523426900258e-05,0.01319681274632256
FGA,196.43424508123869,-7.384205559350592,1.7156846311117973,-4.3039410771928885,1.677863055939931e-05,0.01319681274632256
ERICH2,32.31338962542723,2.9324872320242816,0.6881243464558453,4.261565874144593,2.029994968669391e-05,0.01319681274632256
BICC1,24.634329068353555,5.246255329814733,1.2268120071527815,4.276331906785282,1.8999789428461615e-05,0.01319681274632256
GALNTL6,26.983516645274918,-5.4962707953965495,1.2707643745240258,-4.3251690915990775,1.5241490474589639e-05,0.01319681274632256
CYP24A1,104.03154485334004,-6.645971353279534,1.5579308734259814,-4.265896174625934,1.9910136179358538e-05,0.01319681274632256
PCK1,15.955510744628628,-6.162737861463864,1.4442484789571681,-4.267089736465377,1.9803951362030882e-05,0.01319681274632256
DPP4,135.69202919927733,3.0220400663982363,0.7168966920321506,4.215447079037027,2.4928384609650327e-05,0.01535380822881621
TNS4,24.60734007609534,-4.602895705002187,1.0938461777104795,-4.2079917622754515,2.57650256951188e-05,0.01535380822881621
SUSD4,53.890001869541074,2.7926858101742953,0.6691104397446185,4.173729244517824,2.9965384760779866e-05,0.0160656891737331
TFF1,73.9080123729371,-9.21119857966974,2.2024543476759093,-4.1822426827551045,2.8864762018971025e-05,0.0160656891737331
BMP3,67.6646333051455,2.7969035959695114,0.6705630932757829,4.170977532190587,3.032957682077987e-05,0.0160656891737331
DEFB1,24.244277359327842,-3.008254265122791,0.7239388001274224,-4.155398584235711,3.2472095711886716e-05,0.016586282602550136
FAM83A-AS1,12.708850411976666,-4.72736575323085,1.1429173138181818,-4.1362272634036685,3.530625364355857e-05,0.016843549851084102
ALDH3A1,34.93160396855724,-3.18273265057608,0.7709117226219178,-4.128530617943404,3.65088830501753e-05,0.016843549851084102
HABP2,41.69019532758228,4.339168111924187,1.050281026764976,4.131435302882201,3.60505160594574e-05,0.016843549851084102
DOCK5,63.91024604533636,-2.4978676572518412,0.6099161293252144,-4.095428104213897,4.2138898599796056e-05,0.01883345399294635
ABCC9,18.83197573134984,-4.619658724860756,1.1339806677592754,-4.073842576160593,4.624374594728633e-05,0.020041759228426943
FURIN,263.2271416067838,-1.9376485205162461,0.4766990026878844,-4.06472115441976,4.808992125675224e-05,0.020228883935707955
FAM234B,10.227346302252526,2.6875022389049326,0.6631695265341996,4.052511660103155,5.067069777245442e-05,0.02070549484404695
LHFPL3-AS2,20.47957735557304,4.745805124016527,1.1733683838303204,4.04459945351895,5.2412655703060186e-05,0.02082238338514352
EDN1,107.03086150409086,-1.401959004883929,0.34782570433472476,-4.0306365728933455,5.562599618223426e-05,0.021501702632386873
FST,11.173617151419586,-4.415933990440174,1.102465912135881,-4.0055061492875454,6.188482377692878e-05,0.02329149341204304
PKP1,9.31522128142275,-3.9959244435744288,0.9991759699417526,-3.9992199209988737,6.355160603698301e-05,0.023305514603613617
