gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
GDF15,29.487901918268943,3.744260318036595,0.6580395268940773,5.69002341806026,1.2702195053739485e-08,0.000173384962483544
RPS4Y1,33.644712766833145,-8.35886864113859,1.5599452105245826,-5.358437325069673,8.394484692625938e-08,0.0005729235802717202
KDM5D,8.356443538332604,-7.0379517302241394,1.3786996032523113,-5.10477533584678,3.311877421893539e-07,0.0015069042269615603
TTTY15,7.594444293128453,-6.871710663901819,1.4040881031589887,-4.894073704094135,9.876982065020315e-07,0.0033705201296881826
ALDH2,20.427563400723017,2.619927272492339,0.5537768388342127,4.731016338653125,2.233985380408845e-06,0.006098780088516147
NBL1,17.693391353744857,-2.650569421531446,0.6165549280406769,-4.298999652722873,1.715707414181582e-05,0.03345629457654085
CXCL17,20.67008751982717,2.5597919738112602,0.5920245062791748,4.323793942077401,1.5336855592720818e-05,0.03345629457654085
EIF1AY,5.332386079316276,-6.340298602469566,1.4956419297507821,-4.23918217077937,2.243355601439473e-05,0.03827725494956101
CD24,9.828207637923445,3.9743188174286854,0.9644013734789204,4.121021523530166,3.771961804245748e-05,0.057208087364393846
SELENBP1,10.836927836760212,3.759622704056251,0.9340123925548528,4.025238566452377,5.6917583040792137e-05,0.07769250085068127
XIST,27.177343792613982,7.749816431800861,1.9905973624229552,3.893211444009844,9.892585592762533e-05,0.11509399069559821
TMPRSS2,8.128159609929341,4.345270877108312,1.1176852931191819,3.887740944485135,0.00010118153028184458,0.11509399069559821
PIGR,27.54287864026932,4.346791421983763,1.137107537386848,3.8226740031756288,0.00013201225960012743,0.1386128725801338
MMP7,6.508950816022311,4.369593396453345,1.1488641307150906,3.8034031001851947,0.00014272183521276603,0.13915378933244688
FTH1,24.776315644478462,-1.9166095610229255,0.5093126569018174,-3.763129651404676,0.00016780015157877068,0.15269813793668133
CDC42EP1,5.559573011114927,3.783822648512908,1.0831383721025032,3.4933880526899332,0.00047693290387885946,0.406883383621652
FUT11,22.599427497997045,1.67440672745346,0.4827444210499423,3.4685159567700823,0.0005233414465461458,0.42021239678558187
OLR1,30.15552361706142,2.1569728440503066,0.6254385430254581,3.448736679412654,0.0005632156424283959,0.42710519550820025
SCRN1,9.946390990394823,1.9815509887866256,0.5791943225061355,3.4212196352557216,0.0006234096451294898,0.4478706134746071
CYP2B7P,8.6798126474084,3.464919460066252,1.0270733447918787,3.3735852241091573,0.0007419607467674329,0.4822744853988314
HBA1,7.342520575738086,4.699398578613854,1.3889944895042905,3.383309735297073,0.0007161781196524187,0.4822744853988314
EFNA1,16.178721926980742,2.068577735792895,0.6155641843488685,3.360458240404281,0.0007781329300480509,0.48279611341617706
AC026403.1,20.90806680521453,-1.423901396003081,0.4314070912273956,-3.300598031321046,0.0009647900162018655,0.5725819009198028
KLRF1,117.37990442916215,0.6520686255367282,0.1986346400010937,3.282753831522728,0.001027983911422921,0.5846658496217862
ZBTB18,16.485161772358584,1.985090855645742,0.6089194931787508,3.260021854913767,0.0011140362921271722,0.5848690533667654
NPC2,68.6705652753066,1.7348428087435508,0.5317202053797068,3.2626986734586887,0.001103567900495871,0.5848690533667654
HSPD1P5,4.572383809991305,-3.446661504326447,1.0636737000864915,-3.2403372425643178,0.0011938840669573933,0.5984069113480733
ELF3,26.87632163089726,1.9472943704671892,0.6024277380328039,3.2324115367363007,0.0012275013566114324,0.5984069113480733
IRF4,41.05935360647248,-1.463435837784183,0.45640412548612375,-3.2064474356480734,0.0013438485417808855,0.618096138220933
PLS3,7.003703640490335,3.3991316438865002,1.061122361047071,3.2033361737211714,0.0013584530510350177,0.618096138220933
C4BPA,6.779379698795907,3.8257062752869104,1.1992676341033286,3.1900354570540244,0.0014225533928138446,0.6263823810293219
MUC1,7.455957937507896,2.500878986694573,0.78814634488127,3.1731149968998675,0.001508127763734005,0.6433107492177865
