names,scores,logfoldchanges,pvals,pvals_adj
SFTPB,8.712149,2.828464,2.9816883272228205e-18,9.957646337593331e-14
HSPA1A,7.8799343,2.095286,3.2755279878228344e-15,3.646317756044379e-11
MT-ND3,7.099331,0.9442875,1.2536253999642638e-12,8.37321477144131e-09
HSPA1B,6.9808617,1.8883189,2.9337465552086934e-12,1.632923332629159e-08
MT-ND1,6.87119,0.7700565,6.366840887604788e-12,3.037528832606422e-08
TXNIP,6.577364,2.071834,4.788609157492099e-11,1.7768932380400683e-07
CAV1,6.404939,1.5310199,1.504292174335282e-10,4.567031041281916e-07
ITM2A,6.305238,1.675681,2.8775168404847886e-10,6.864110886059286e-07
HLA-DRA,5.7598124,1.3461584,8.420758111175507e-09,1.480103357267459e-05
RPS27A,5.7164125,0.7851547,1.0879630822901758e-08,1.7301721474363196e-05
DNAJB1,5.5961843,1.4984208,2.1912053149422043e-08,2.9270997079123943e-05
GDF15,5.470678,3.4460793,4.483173332699223e-08,5.545187282178639e-05
RPS4X,5.452497,0.9221363,4.966738674117192e-08,5.719627750373026e-05
MT-ND2,5.2267027,0.5825497,1.7255972533037108e-07,0.00016465155963237352
RPS29,5.209695,0.73987347,1.8915162351352345e-07,0.00017072723294209809
HLA-DPA1,5.167468,1.3752152,2.3728632865736832e-07,0.00020319010850875568
PIGR,5.0126376,4.3762856,5.368893159037008e-07,0.00038978164334608676
IFI6,4.919974,1.1958424,8.655572061649036e-07,0.0006022114261892316
SLC34A2,4.697112,3.9746408,2.6386593460418743e-06,0.0014213010890389425
CCL2,4.5059195,2.4573545,6.608608885321469e-06,0.0029039618728183654
HLA-B,4.467212,0.56938374,7.924557596356434e-06,0.00334998133529012
NPC2,4.434369,1.1055574,9.234226230402872e-06,0.0037154966167534257
MT-CYB,4.3991804,0.60211575,1.0866044877412942e-05,0.004171062468115892
MT-RNR2,4.3159003,0.75375146,1.589536409917745e-05,0.00564725084527798
OLR1,4.237899,3.9491725,2.2562155051240963e-05,0.007315395437779059
MT-ATP6,4.205642,0.45734784,2.6034170277834596e-05,0.008050343987023742
CEBPD,4.110633,1.9185634,3.945764633041138e-05,0.01089031038719354
SCGB3A2,4.0296984,2.048399,5.584842515833533e-05,0.014571203176466926
RPL32,4.0115175,0.6278551,6.032965283087036e-05,0.015263402166210202
XIST,3.948178,28.707117,7.87482624974274e-05,0.018651609747263015
RPS20,3.916508,0.5102641,8.984080960276645e-05,0.01986969322843701
SCGB1A1,3.8819058,4.948107,0.00010364102758534963,0.022045832848664564
IER5,3.872522,1.138172,0.00010771489179610287,0.022624191990079572
GADD45B,3.8408523,1.2101996,0.00012260789546285052,0.024815838041680943
VIPR1,3.8326416,3.6027524,0.0001267746120091819,0.025504608088305052
RPL34,3.6795704,0.42861,0.00023362712022117498,0.04021758405621835
TPT1,3.6625626,0.38810012,0.0002497047254449356,0.041678695419388095
CYB5A,3.591012,1.1808391,0.00032939632014896667,0.05340058013444121
RPL35A,3.5523045,0.45571283,0.00038187268403663886,0.059041759981887
