names,scores,logfoldchanges,pvals,pvals_adj
CD74,14.605279,2.4638798,2.5991514527584893e-48,2.1700315479080627e-44
SFTPB,14.412601,2.941287,4.3115988030263423e-47,2.8798030725173543e-43
MT-ND3,13.935737,0.7849245,3.8421378119374776e-44,1.8330290623923428e-40
HLA-DRA,12.673267,2.4347942,8.3176206933283e-37,1.851835071162613e-33
TIMP3,12.580417,2.4889972,2.7059737000862032e-36,4.303271318479945e-33
A2M,11.941735,2.4690113,7.171108540777665e-33,7.982878027593697e-30
MGP,11.378327,2.2285376,5.361837892667238e-30,4.476598456587877e-27
SPARCL1,11.006791,2.3229504,3.5440076957803295e-28,2.572949587136519e-25
ELN,10.889253,2.7446234,1.297001995645575e-27,8.662935729315924e-25
KANK2,10.769701,1.9573414,4.78552075782327e-27,2.9057682041502895e-24
PRELP,10.6037245,2.4842067,2.8634459082217024e-26,1.385907819579304e-23
LBH,10.59715,2.3114405,3.072002767199054e-26,1.4449662593433748e-23
HLA-DRB1,10.473305,2.3416574,1.1457213330547478e-25,4.90544995367902e-23
PIGR,9.935256,7.689106,2.924250447119271e-23,1.0172736242916164e-20
XIST,9.027952,29.107134,1.749144475501748e-19,4.749140561289136e-17
CXCL14,9.021512,2.2006078,1.855116641163142e-19,4.996248011958411e-17
LTBP1,8.979112,1.7069677,2.729615717504398e-19,7.029294463760415e-17
AHNAK,8.886261,0.98077095,6.319959832861947e-19,1.5634176190982041e-16
GSN,8.755841,1.4035912,2.0258626536861338e-18,4.698313137673759e-16
LITAF,8.557931,1.8437239,1.149113958654493e-17,2.4919356989107436e-15
NPC2,8.388734,1.157576,4.914061766054615e-17,1.0256875421197495e-14
MT-ND4,8.386587,0.38818055,5.004596841725166e-17,1.0380963734549915e-14
MT-ND1,8.328086,0.3759954,8.215993428900604e-17,1.652899497298582e-14
MYLK,8.311583,1.375712,9.4434483498735e-17,1.8884634795950625e-14
LTBP2,8.134067,1.707763,4.1512572862636763e-16,7.617329029234162e-14
PDGFRB,8.117697,1.4626946,4.751147085969063e-16,8.623331961033849e-14
AOC3,8.063623,2.7641046,7.406571632514778e-16,1.3156907778694868e-13
CXCR4,7.932801,2.267172,2.1425764955025194e-15,3.577674232190107e-13
MT-ATP6,7.913748,0.28912687,2.4975384595314346e-15,4.0886173722799897e-13
MT-CYB,7.9094543,0.3383264,2.5851975933243075e-15,4.2114760403248085e-13
RPS4X,7.824252,0.52743757,5.106844219837249e-15,8.044724979513433e-13
NET1,7.7572975,2.1517022,8.675810028857053e-15,1.3169879623805007e-12
CTSK,7.7146297,1.6216125,1.2133418714417117e-14,1.7790971091381303e-12
TXNIP,7.5809894,1.7282,3.4292962477090436e-14,4.811965440692908e-12
DMBT1,7.5512023,5.424718,4.312588603371231e-14,5.951372272652298e-12
RNASE1,7.5019593,2.3460815,6.287091450955251e-14,8.432277353257091e-12
NR2F2,7.468147,1.4728007,8.133213974690171e-14,1.077844499598226e-11
TBX2,7.4285645,2.124806,1.0978250499797801e-13,1.4434238334301078e-11
HLA-DPA1,7.174836,2.3634844,7.239380168898375e-13,8.728026719152713e-11
IGKC,6.934257,0.7842021,4.083610912386413e-12,4.399234517098602e-10
ALDH2,6.847445,1.7987807,7.518067908136303e-12,7.773170150468111e-10
NAPSA,6.7442627,4.0177712,1.5380587810310512e-11,1.533283911979492e-09
CD81,6.724539,0.5058323,1.7614940421959962e-11,1.7353054582058257e-09
CD4,6.7062907,1.6938109,1.9963367941926787e-11,1.938071615664497e-09
MACF1,6.672478,1.0504299,2.515193170866255e-11,2.413718136041651e-09
AKAP12,6.6531568,1.432862,2.8687227629628872e-11,2.721700721361039e-09
TBX4,6.607671,3.384815,3.904134656477968e-11,3.6318239829453543e-09
RPS28,6.5624533,0.8505754,5.2929626184607735e-11,4.803363576253152e-09
SCGB1A1,6.5246153,5.245417,6.817623200166882e-11,6.1040574904228745e-09
DCN,6.5016713,0.8951225,7.943257314244692e-11,6.962546489934795e-09
LUM,6.500598,1.1743397,8.000147138341647e-11,6.99405533591774e-09
DKK3,6.428813,1.0607954,1.2860405962049343e-10,1.0928399936605595e-08
SCN7A,6.4208965,2.6671374,1.354738904821619e-10,1.1396186515219845e-08
MTATP6P1,6.3715196,0.40928543,1.871642555418415e-10,1.5319944799204262e-08
MYH11,6.3000035,2.5944183,2.9763900962008856e-10,2.37230366712947e-08
ZFP36L2,6.2097025,1.2352542,5.308501426013593e-10,4.1132880190986074e-08
TIMP2,6.1047764,0.44076833,1.0294482189394795e-09,7.606073610553729e-08
TCF4,6.0227942,0.909175,1.7143139012138158e-09,1.2312091837620773e-07
ITM2B,5.9569135,0.40200314,2.570464104696261e-09,1.7996482021055835e-07
FOXF2,5.897473,2.2203016,3.69110543657724e-09,2.500368299390132e-07
TACC1,5.8910327,0.9571432,3.8378992319791155e-09,2.58930268184191e-07
GPX3,5.8490353,1.9992423,4.944324040305328e-09,3.276203286707078e-07
SLC34A2,5.8332024,2.7618942,5.437355873418021e-09,3.560508563699377e-07
ANTXR1,5.788924,0.7237975,7.083873378901238e-09,4.4877127476028505e-07
PLS3,5.765309,0.67336226,8.15084158852846e-09,5.059581890157927e-07
ITGA8,5.7634306,2.2875292,8.242124250707394e-09,5.106752903091357e-07
SFRP2,5.7513547,1.8469301,8.853125241257243e-09,5.434907547004171e-07
CLU,5.7489395,1.6569687,8.980503662079288e-09,5.502988996308255e-07
ZNF503,5.7192864,1.6247176,1.0697245048259823e-08,6.448469235228972e-07
LIMCH1,5.6866813,2.3162618,1.295318721261445e-08,7.724725717008433e-07
SPRY1,5.670983,1.7241884,1.41980819323646e-08,8.407077025057591e-07
TNS1,5.6378407,1.0908602,1.721954568846158e-08,1.001853567616486e-06
ZFHX3,5.6061754,1.5829047,2.0684658200976576e-08,1.17881372914644e-06
COLEC12,5.5934286,1.9204737,2.2262904916481924e-08,1.2622953694241602e-06
GDF15,5.5828285,1.6728522,2.366381488644001e-08,1.3371857224154832e-06
LAMA2,5.5766563,2.10656,2.4518560855200232e-08,1.383145030946397e-06
C7,5.5298285,2.7764382,3.205438214733858e-08,1.7694018945330895e-06
CLDN2,5.506079,6.757874,3.669132848380396e-08,1.9907100234377317e-06
SFTPA1,5.485282,1.9716645,4.128105740588158e-08,2.216434394094568e-06
MT-ND2,5.4729376,0.29040816,4.426359109312859e-08,2.370748350517573e-06
ITGA1,5.4728036,1.0610476,4.4297130516318295e-08,2.370748350517573e-06
GUCY1A3,5.437381,1.4149469,5.4069503571352705e-08,2.8347019486167895e-06
PIK3R1,5.3748546,1.5323427,7.664459300921039e-08,3.890004298078404e-06
PLAC9,5.3402367,1.8023871,9.282526330144493e-08,4.613084067284307e-06
FLNA,5.227528,0.7146999,1.7179114294778203e-07,8.069109718543077e-06
MRVI1,5.2209535,1.8499799,1.7800413925013316e-07,8.337484199715914e-06
SPINT2,5.2194777,2.3014123,1.7942845900574114e-07,8.368984381223087e-06
EPB41L2,5.2041817,0.9338646,1.948534964976028e-07,9.000452792578068e-06
IGFBP7,5.1860676,0.66900665,2.1478083754108434e-07,9.839260425956176e-06
LAMP5,5.1236753,3.5247633,2.9963661602698436e-07,1.3324453300715272e-05
C6orf48,5.1192474,0.8092016,3.067570345246544e-07,1.360485780210539e-05
