names,scores,logfoldchanges,pvals,pvals_adj
TPT1,4.84686,0.60378647,1.2543100243080362e-06,0.00698148959529853
HLA-DRB1,4.5090995,0.6935965,6.510336130120515e-06,0.019765380491045884
HLA-DPA1,4.331775,0.62154967,1.4791178883798268e-05,0.035283300714523354
MT-ND3,4.238891,0.49023783,2.2462635985600646e-05,0.044127187727948186
HLA-DPB1,3.647811,0.5509019,0.0002644842193950206,0.1698599036714636
IFI6,3.6224787,2.0260022,0.0002917933375315203,0.17401304107504736
GDF15,3.6098127,4.007062,0.00030641802939891633,0.17643338810010709
RPS4X,3.4156008,0.582931,0.0006364149877242036,0.27248352474407056
RPL15,3.3776026,0.49130598,0.0007312065677664162,0.3014737597176202
RPS13P2,3.3607147,0.9041426,0.0007774110149031345,0.30544021474947153
RPS13,3.1791685,0.44390273,0.0014769820887030945,0.4170718884836115
EEF1A1,3.0989504,0.6255636,0.0019420751106935868,0.45354923354351767
RPL31,2.9469583,0.41200528,0.003209164665959598,0.5793149361318202
SCGB1A1,2.9047382,3.538946,0.0036756031103311855,0.6168363893096496
MT-CYB,2.8118541,0.5195671,0.004925682449180755,0.7214828555826338
HLA-DRA,2.7274141,0.34884053,0.006383286797332965,0.8199086380143525
DDX5,2.71897,0.633332,0.006548552120229008,0.8315416220804865
XIST,2.5838661,28.638054,0.009769973755148108,1.0
CDKN1A,2.457206,0.4469117,0.014002239764044647,1.0
SCGB3A2,2.398098,2.6135252,0.016480460737909274,1.0
RPS15A,2.3558779,0.34339774,0.018478993186941736,1.0
PIGR,2.3389897,3.4450128,0.019335959665468375,1.0
HSPA1A,2.3347678,0.8936757,0.019555552622198297,1.0
RPL39,2.2967699,0.37475148,0.02163190520312977,1.0
RGS1,2.2798817,1.0628843,0.022614700538547305,1.0
HLA-DQA1,2.2672157,0.44635612,0.023377047501145908,1.0
SFTPB,2.1954417,1.6737263,0.028131927124354816,1.0
RPL26,2.1447778,0.24607636,0.03197062651476082,1.0
BTF3,2.1363337,0.4314898,0.03265222597042028,1.0
ATP1B3,2.1067796,0.8522846,0.03513668414240749,1.0
RPS29,2.1025577,0.2133621,0.03550445539343665,1.0
HBEGF,2.0856695,2.189898,0.0370085588318968,1.0
RPL34,2.0856695,0.16266735,0.0370085588318968,1.0
CLEC9A,2.0687816,0.6909675,0.03856658380772042,1.0
RPL34P27,2.0265615,0.92891425,0.04270726819401005,1.0
TYROBP,2.0096736,1.2147452,0.04446574849301031,1.0
INSIG1,2.0054517,0.9832491,0.04491479307157358,1.0
G0S2,1.9927856,0.9380265,0.04628493341714233,1.0
TACSTD2,1.9758976,0.94122624,0.048166381892878016,1.0
HLA-B,1.9336776,0.32243088,0.05315278999314372,1.0
SCGB3A1,1.9252335,3.0479434,0.054200151722230604,1.0
CLIC4,1.9252335,1.5424612,0.054200151722230604,1.0
RASSF3,1.9167895,3.5279999,0.05526467912896334,1.0
CCL4,1.8830135,1.6009759,0.05969854172902724,1.0
RPL37,1.8830135,0.22003071,0.05969854172902724,1.0
