names,scores,logfoldchanges,pvals,pvals_adj
PIGR,56.26811,5.107167,0.0,0.0
NPC2,53.936523,3.6036243,0.0,0.0
RNASE1,47.71039,3.6892152,0.0,0.0
SLC34A2,46.311066,3.4124708,0.0,0.0
EEF1A1,44.016415,1.4582137,0.0,0.0
NFIX,43.259827,3.7742844,0.0,0.0
RPS28,42.833607,2.5912843,0.0,0.0
HLA-DRB6,42.348923,3.8748274,0.0,0.0
APP,42.151722,2.4652295,0.0,0.0
CD24,41.211014,3.1004658,0.0,0.0
RPS4X,40.761143,1.4182525,0.0,0.0
TMPRSS2,40.318813,3.4153252,0.0,0.0
ADGRF5,40.11699,3.2496655,0.0,0.0
SFTPB,39.471237,3.542626,0.0,0.0
HSPA6,39.201595,3.3095179,0.0,0.0
SUSD2,39.027267,4.4212584,0.0,0.0
TMSB4X,38.96274,1.622999,0.0,0.0
RPL26,38.859913,1.6167299,0.0,0.0
RPS29,38.61129,0.9569941,0.0,0.0
SERPIND1,38.492695,6.260013,0.0,0.0
RPS12,38.045063,1.2267324,0.0,0.0
SELENBP1,37.416225,2.2568808,2.1286172702863118e-306,2.7341270137877566e-303
BCAT1,37.325024,3.9891915,6.44691707221248e-305,7.974120094207703e-302
RPS6,36.74073,1.1847534,1.6348979067642324e-295,1.8827258791137348e-292
ALDH2,36.589306,1.9806715,4.231265815480365e-293,4.710245105792743e-290
DPP4,36.30755,4.458338,1.2298099787616779e-288,1.3248623887330643e-285
DNAJB1,36.283337,2.087658,2.963436786249147e-288,3.092716716049266e-285
CTSH,36.21744,2.1190746,3.235808329974221e-287,3.274638029933912e-284
CRABP2,35.97869,4.1240973,1.8021622456330007e-283,1.77014736338705e-280
DMBT1,35.907673,5.0519896,2.3187866813838737e-282,2.212520000328453e-279
RPL7A,35.86479,1.4576445,1.0815921777993452e-281,1.0033570102718593e-278
HMGN3,35.45079,2.1934023,2.820642968875832e-275,2.4153382715019815e-272
NAPSA,35.43428,2.4261053,5.065616825974502e-275,4.1261302322010846e-272
GDF15,35.170082,2.4521377,5.733973094393154e-271,4.559327749056042e-268
RPL37,34.940998,0.98115456,1.774088491595427e-267,1.377847889891183e-264
HAGLR,34.83791,3.930873,6.490183274200668e-266,4.816581347226789e-263
HSPA1B,34.60699,1.8525994,1.9831030584635484e-262,1.4397328204445362e-259
IRX2,34.276424,3.8553586,1.7622706021453666e-257,1.2521870006222694e-254
RPL31,34.179203,0.9990104,4.9261187907021705e-256,3.290253262685794e-253
C1orf116,34.066826,2.808152,2.2870462085483174e-254,1.497611670209404e-251
CD44,33.95727,2.1443372,9.527457809432301e-253,6.118826557765406e-250
CADM1,33.922592,2.3964431,3.0943391142868863e-252,1.9497839445419784e-249
VIM,33.91981,2.284282,3.4007021024313396e-252,2.103145322459204e-249
NKX2-1,33.718067,2.1346374,3.142229546396772e-249,1.873891034490475e-246
SNHG5,33.25827,2.068388,1.5500626264854782e-242,8.925153702432592e-240
DBI,33.0409,1.9767723,2.101856955281674e-239,1.1698935813097797e-236
GNAS,32.652115,1.3284185,7.477715751409934e-234,4.093865495640757e-231
RPL10,32.36128,1.494464,9.628175368397819e-230,5.024102259422086e-227
FLNA,32.293076,2.2657976,8.749424368168605e-229,4.495319633836288e-226
HSPA1A,32.231377,1.7583601,6.416856880776054e-228,3.246929581672684e-225
CEBPD,32.125988,2.0396197,1.9121594694252565e-226,9.390952594253804e-224
C6orf48,31.87093,1.8248546,6.752408570164343e-223,3.268165747959542e-220
COLEC12,31.856436,5.038437,1.0721240621640107e-222,5.114950740004186e-220
AC099560.2,31.743017,1.4525431,3.964134806714925e-221,1.8645950141556567e-218
RPS11,31.414713,1.144485,1.2740445613378858e-216,5.828492078142471e-214
CAMK1D,31.299831,3.581701,4.69113099481631e-215,2.0888668093718063e-212
CDC42EP1,31.24943,2.3160841,2.272683995510827e-214,9.986651936063102e-212
SFTPD,31.109602,2.4918456,1.7860951004626128e-212,7.746549607149275e-210
RPL28,30.94162,1.3658829,3.293768399566078e-210,1.4102396086142144e-207
AC005912.1,30.934195,1.3767748,4.145362296222952e-210,1.75238631955268e-207
STXBP1,30.79234,2.4378738,3.318430732851079e-208,1.3681767006703042e-205
