names,scores,logfoldchanges,pvals,pvals_adj
TPT1,5.5320344,0.60220176,3.16537906390628e-08,6.606937451138383e-05
HSPA1A,4.7947836,2.8327785,1.6285072274470911e-06,0.0015538750676520874
MT-CYB,4.747048,0.56203884,2.064073010482783e-06,0.0019147717293911952
HSPA1B,4.587929,2.6048872,4.476653184981704e-06,0.0038333925580935633
MT-ND3,4.582625,0.54707193,4.591754819033165e-06,0.003833656098410789
DNAJA1,4.367814,1.0564965,1.2549614282613865e-05,0.008917168480471757
SFTPB,4.115876,1.9307625,3.8571167122882957e-05,0.021116765528455726
MT-ND2,3.7180786,0.38326204,0.0002007437441817038,0.0751986384686128
DUSP5,3.5642638,0.56606644,0.00036487893820932095,0.11716824058113925
SCGB3A2,3.5165281,2.1281416,0.0004372304359833488,0.1352013670379622
RGS2,3.4953122,0.80058813,0.00047350752881194277,0.14375688574730583
HSPH1,3.2964137,1.4877989,0.0009792774401461122,0.24225147697125604
HSP90AA1,3.2805016,1.2364974,0.0010362265150418194,0.25259723136012113
IER5,3.25133,2.248175,0.001148664999371979,0.2720625270852951
HSPA8,3.2248101,1.2350112,0.001260562769119798,0.29032933956913637
TRIB1,3.1982903,2.2213337,0.0013824507036493644,0.30535577047347123
IFI6,3.1717703,1.5517443,0.0015151273798263162,0.3180930794340238
CD83,3.1081228,0.85575604,0.0018827979038775274,0.37878264336080664
G0S2,2.9967396,3.1185062,0.00272883699492464,0.48995828108872735
DNAJB1,2.9543078,1.5483917,0.003133711917321563,0.5422458196418182
SLC34A2,2.9145281,2.9736402,0.0035622666843266333,0.5860367398510947
HSP90AB1,2.8455765,0.6260771,0.0044331091544219945,0.6694421015387451
JUN,2.784581,1.1492448,0.005359692490436808,0.7456619489382484
GDF15,2.7235854,3.6411912,0.00645775056377184,0.8138227842555638
MT-ND1,2.667894,0.24434187,0.007632837165932654,0.9136424014103474
IL1B,2.5750744,1.62887,0.010021850590386185,1.0
RNASE1,2.498167,2.1953976,0.012483737001439548,1.0
JCHAIN,2.4769511,0.35506278,0.013251004094178807,1.0
MT-ND6,2.4292154,0.21811117,0.015131536861324764,1.0
CD55,2.3310921,0.8565303,0.019748502077373643,1.0
IFI44L,2.3125284,1.3345987,0.020748589897027134,1.0
ANXA2,2.2939644,0.88848877,0.021792544563257136,1.0
PMAIP1,2.227665,1.7963551,0.02590287356145616,1.0
SERPINB9,2.206449,1.3243425,0.02735257874601201,1.0
MRPL18,2.201145,1.5532821,0.027725759272269283,1.0
MALAT1,2.185233,0.3740691,0.028871757904837217,1.0
HLA-DRB1,2.1534092,0.34602067,0.03128652206436527,1.0
RASSF5,2.1109776,0.8171043,0.034774234635223264,1.0
P4HA1,2.0685458,2.7014635,0.038588717315303486,1.0
SC5D,2.0685458,1.4054806,0.038588717315303486,1.0
XIST,2.052634,28.411165,0.04010808477866,1.0
SFTPC,2.0473301,3.4899955,0.0406256879820394,1.0
SMC1A,1.9730746,2.1946497,0.04848706715935629,1.0
UBC,1.9571626,0.28313255,0.05032834529370297,1.0
SRSF2,1.9412508,0.71163917,0.052227865767659344,1.0
AGER,1.9385988,28.011858,0.05255020931580583,1.0
B2M,1.9359468,0.14179362,0.05287421434002421,1.0
PIGR,1.9359468,3.233977,0.05287421434002421,1.0
AC074033.1,1.9359468,0.9274332,0.05287421434002421,1.0
CCND2,1.9306428,1.3662305,0.053527233918996206,1.0
RGS1,1.9253389,0.34680387,0.05418697479640858,1.0
JUND,1.9200349,0.24952948,0.05485348740162286,1.0
HSPA6,1.8988191,2.5653524,0.05758826833958245,1.0
MT-ND5,1.8988191,0.20839325,0.05758826833958245,1.0
ERGIC1,1.8722993,1.8112689,0.061165213757982846,1.0
DDX3X,1.8510834,0.415958,0.06415755588382102,1.0
PPP1R15B,1.8510834,1.0013071,0.06415755588382102,1.0
SERPIND1,1.8245636,28.001158,0.06806691356757527,1.0
EPCAM,1.8192596,3.2225487,0.06887183136326139,1.0
CD36,1.8113036,1.0922254,0.07009385784633125,1.0
TM4SF1,1.8059998,3.141474,0.07091838540764851,1.0
PABPC4,1.8006958,1.0366869,0.07175084901344728,1.0
KLF4,1.8006958,0.9168059,0.07175084901344728,1.0
TXN,1.8006958,0.671026,0.07175084901344728,1.0
SLC15A4,1.7980437,0.3801265,0.07217007331216367,1.0
APP,1.7874359,0.19244924,0.07386707446322004,1.0
SFPQ,1.7821319,0.22757499,0.07472772990161858,1.0
SOD2,1.7768279,1.109473,0.0755965591184573,1.0
RNF122,1.755612,1.0839725,0.07915467337035943,1.0
MORF4L2,1.755612,0.6654638,0.07915467337035943,1.0
ZFP36,1.7397002,0.25701,0.081911681621969,1.0
RPS27A,1.7290922,-0.025634414,0.0837925895682633,1.0
CXCL2,1.7211363,0.9097576,0.08522609645831077,1.0
TXNIP,1.7211363,2.612686,0.08522609645831077,1.0
HBEGF,1.7078763,1.5372593,0.0876592837908991,1.0
RBBP8,1.7078763,1.5451444,0.0876592837908991,1.0
ANXA5,1.6813565,1.4824408,0.09269367884491782,1.0
CXCL17,1.6760526,1.8510838,0.09372789179480044,1.0
TACSTD2,1.6627927,2.0539026,0.09635394213926084,1.0
EIF5,1.6442288,0.41437447,0.1001289485086172,1.0
GNG5,1.6336209,0.8752586,0.10233848079355239,1.0
GABARAPL1,1.5964931,1.0669966,0.11037873778222083,1.0
SOCS3,1.5885372,0.42251718,0.11216491907612652,1.0
PLS3,1.5752773,2.8065608,0.11519245658764321,1.0
DNAJB4,1.5699733,1.6070294,0.1164213199673348,1.0
ATP1B3,1.5514095,0.77573407,0.12080359450835534,1.0
NUFIP2,1.5461055,0.85197973,0.12207909660385874,1.0
ADSS,1.5275416,3.8088531,0.12662639055953298,1.0
HSPB1,1.5248896,1.0005347,0.12728663130578008,1.0
PLSCR1,1.5195856,0.71085197,0.12861514517218275,1.0
AP3D1,1.5169337,1.1387224,0.12928343059948896,1.0
TMED2,1.5010217,0.7174168,0.1333499276819374,1.0
HNRNPU,1.4851099,0.5565684,0.13751471642869662,1.0
INSIG1,1.4851099,1.5688415,0.13751471642869662,1.0
CXCL3,1.474502,2.9767272,0.14034648955473053,1.0
MT-ATP6,1.474502,0.08791555,0.14034648955473053,1.0
HSPD1,1.47185,0.5685237,0.14106139322896083,1.0
DUSP10,1.45859,2.4979074,0.14467796793611754,1.0
OAS2,1.45859,1.0898103,0.14467796793611754,1.0
MAFF,1.4426782,2.7733197,0.1491111487756405,1.0
RPS13,1.4426782,-0.041550197,0.1491111487756405,1.0
MT-ND4,1.4161583,0.06357055,0.1567291442952044,1.0
HSP90AA2P,1.4161583,0.7567665,0.1567291442952044,1.0
TMPRSS2,1.4161583,3.513727,0.1567291442952044,1.0
MS4A7,1.4161583,2.7123215,0.1567291442952044,1.0
HLA-DRA,1.4161583,0.24108194,0.1567291442952044,1.0
HSPE1,1.4055505,0.9196662,0.15985766368482057,1.0
DDX5,1.4055505,0.21437211,0.15985766368482057,1.0
CD24,1.4002465,3.5299623,0.16143952499311365,1.0
ELF3,1.3949425,1.0778172,0.16303317826545238,1.0
KRT8,1.3896385,2.2848313,0.16463866623870616,1.0
RNF139,1.3896385,0.886014,0.16463866623870616,1.0
SCGB1A1,1.3790306,2.5913801,0.16788531547444274,1.0
DBI,1.3763787,0.70267236,0.16870444026541875,1.0
ARL6IP1,1.3737266,0.52080745,0.16952656043109282,1.0
EMP2,1.3684226,27.455612,0.1711798074645936,1.0
CLDN18,1.3684226,27.373121,0.1711798074645936,1.0
FOXJ3,1.3578148,1.9338044,0.17452247106059504,1.0
H2AFZ,1.3498588,0.74922484,0.177061275757592,1.0
TXNP6,1.3472068,1.6846639,0.17791362900243912,1.0
COMMD1,1.3392509,1.6029582,0.18048901246843774,1.0
SDC4,1.3312949,2.11334,0.18309198322949305,1.0
TMX4,1.3312949,1.2610915,0.18309198322949305,1.0
HLA-DPA1,1.3312949,0.14275904,0.18309198322949305,1.0
DUSP1,1.3259909,0.5944658,0.18484268713390672,1.0
ERRFI1,1.318035,2.2676547,0.18749192231095024,1.0
SPI1,1.3153831,1.4244668,0.1883812004575881,1.0
ZNF326,1.3100791,1.7670559,0.1901690839567276,1.0
ARL5B,1.3100791,0.95263404,0.1901690839567276,1.0
SMG7,1.2941672,1.4088019,0.19560767695820758,1.0
HSP90B2P,1.2888632,1.066428,0.19744564035528855,1.0
HSBP1,1.2888632,1.6540323,0.19744564035528855,1.0
NDUFB3,1.2782553,1.0794464,0.2011594236731984,1.0
EFNA1,1.2782553,1.2995063,0.2011594236731984,1.0
IDS,1.2729514,0.4685684,0.2030353112416925,1.0
RPL34P27,1.2676474,0.50506413,0.20492390704056085,1.0
FAM120A,1.2676474,0.97913766,0.20492390704056085,1.0
SNX18,1.2676474,2.865432,0.20492390704056085,1.0
DNAJA4,1.2623434,1.6183262,0.2068252436728215,1.0
OAS1,1.2570394,1.6484295,0.20873935324218174,1.0
CTSC,1.2570394,0.4042358,0.20873935324218174,1.0
PPP2CB,1.2570394,1.1740932,0.20873935324218174,1.0
GATC,1.2543875,27.606785,0.209701207772656,1.0
CAMK1D,1.2543875,27.180544,0.209701207772656,1.0
RRAD,1.2543875,27.336014,0.209701207772656,1.0
CCL2,1.2517354,2.656233,0.21066626734695815,1.0
SRGN,1.2490835,0.18151598,0.21163453583491576,1.0
HERPUD2,1.2464315,1.4548345,0.2126060170740125,1.0
QSOX1,1.2278676,2.1691046,0.21949665824899645,1.0
TMEM184C,1.2252157,1.2649229,0.22049397570325768,1.0
CEACAM6,1.2066518,1.743515,0.22756627412942643,1.0
TDG,1.2039998,0.9474982,0.2285896541646718,1.0
RHOB,1.2039998,0.6105246,0.2285896541646718,1.0
GADD45A,1.1907399,0.9042637,0.23375571114299976,1.0
FXYD3,1.1880879,2.1684377,0.23479877595818843,1.0
MT-TF,1.182784,3.2995026,0.23689478356437133,1.0
S100A11,1.172176,0.31483367,0.24112639353505383,1.0
ATP5O,1.172176,1.3040231,0.24112639353505383,1.0
PDSS2,1.166872,3.0095856,0.2432620419021848,1.0
RGS18,1.161568,1.979095,0.24541094885359271,1.0
EGR1,1.1589161,0.9233171,0.24649038103643706,1.0
STX11,1.1509602,2.4600515,0.24974862383187302,1.0
ARF4,1.1483082,0.5237738,0.25084136201350193,1.0
APLP2,1.1456562,0.76233476,0.251937432972712,1.0
MT-RNR2,1.1456562,0.13321976,0.251937432972712,1.0
SPTAN1,1.1456562,1.0545669,0.251937432972712,1.0
MUC21,1.1403522,27.167038,0.254139582914658,1.0
SPINT1,1.1403522,2.5783782,0.254139582914658,1.0
SNCA,1.1403522,27.19259,0.254139582914658,1.0
SUSD2,1.1403522,26.815762,0.254139582914658,1.0
MXD1,1.1377002,1.3225048,0.2552456666436588,1.0
CITED2,1.1350483,1.3699474,0.2563550926424283,1.0
GPR183,1.1297443,0.18184356,0.25858398050197007,1.0
RCSD1,1.1217884,1.5393236,0.26195243483348385,1.0
CHCHD2,1.1191363,0.2861202,0.2630819607738395,1.0
COX6C,1.1191363,0.31099173,0.2630819607738395,1.0
CREBZF,1.1138325,1.9276607,0.265351086635646,1.0
EIF2S3,1.1032245,0.83359,0.2699296884911756,1.0
BTG3,1.1032245,1.778238,0.2699296884911756,1.0
S100A10,1.0979205,0.71409523,0.2722391939574955,1.0
HSP90B1,1.0979205,0.22179823,0.2722391939574955,1.0
SFTA2,1.0952685,2.4152858,0.2733990039410603,1.0
CMC2,1.0952685,2.5804908,0.2733990039410603,1.0
TTC39A,1.0873126,1.329849,0.2768986825878168,1.0
SMG1,1.0820086,1.0223454,0.27924869115418327,1.0
NAPSA,1.0820086,1.9582536,0.27924869115418327,1.0
VEGFA,1.0767046,1.8557703,0.28161222500787675,1.0
PPIF,1.0767046,0.79631484,0.28161222500787675,1.0
WDR26,1.0714008,0.9947558,0.2839892951200139,1.0
RNF14,1.0714008,3.6847985,0.2839892951200139,1.0
RFLNB,1.0714008,0.84688896,0.2839892951200139,1.0
RANBP2,1.0687487,0.28085855,0.28518290950994296,1.0
