names,scores,logfoldchanges,pvals,pvals_adj
SFTPB,16.985048,4.417141,1.059649445092365e-64,3.538805286830462e-60
MT-ND3,15.20964,2.1653106,3.0522081694582388e-52,3.3977181342409114e-48
RPS29,14.256845,2.7558727,4.064135539378326e-46,2.7145174094615713e-42
TPT1,13.441093,1.7363224,3.472663678689876e-41,1.6567582316218157e-37
MT-CO2,13.257473,1.780625,4.08429180566529e-40,1.704987614274975e-36
MT-CO3,13.183068,2.048611,1.0983130778642236e-39,4.0754737275948464e-36
RPS20,13.0866,2.95276,3.928010094146859e-39,1.311798251041285e-35
VIM,13.0548525,3.0515337,5.962545280814484e-39,1.8102287472552773e-35
MT-CYB,12.810433,1.8185326,1.4333202463336209e-37,3.988930245546466e-34
HSPA1A,11.419793,2.4875245,3.3302409441554735e-30,6.951045410688512e-27
HLA-DRB1,11.016147,2.3416138,3.1944377289727127e-28,5.926746799820707e-25
MT-CO1,10.6936455,1.7113739,1.0900057738094953e-26,1.8200916411070952e-23
CD55,10.278844,2.1535568,8.777416845103793e-25,1.3958600617099345e-21
SCGB3A2,10.242561,5.1217704,1.2780773573840992e-24,1.9401214285090624e-21
MT-ATP6,10.008071,1.5220873,1.4046523477934032e-23,2.0395552089960214e-20
HSPA1B,9.886842,2.1708443,4.7477082755719514e-23,6.098248675807727e-20
BASP1,9.782161,2.1147046,1.3431229893183493e-22,1.601961976831271e-19
S100A8,9.465789,1.8776363,2.9135455374280993e-21,3.3551988540672004e-18
RPL31,9.445563,2.3526378,3.5349805767165125e-21,3.9351403780008216e-18
MT-RNR1,9.172952,1.0386889,4.602426045394899e-20,4.3915034346288015e-17
RGS2,9.1374035,1.9082551,6.396952764681269e-20,5.93423984803599e-17
MT-RNR2,9.064348,0.50922406,1.2535196632260164e-19,1.1314200722458392e-16
S100A11,9.040077,1.2540959,1.5656087169953458e-19,1.3741225721069864e-16
RPS12,9.037381,2.4602003,1.6047065610304368e-19,1.3741225721069864e-16
C5AR1,8.984427,1.6708448,2.600851739383368e-19,2.171451117211174e-16
ARHGDIB,8.902913,1.8746593,5.439961497848295e-19,4.431047662979065e-16
RIPOR2,8.82336,2.5664692,1.1107480906894086e-18,8.832034103967497e-16
MT-ND2,8.662416,1.4071226,4.618664371835802e-18,3.5870910549262426e-15
MT-ND1,8.282305,1.2749184,1.2081425787556054e-16,8.966028791138265e-14
MT-ND4,8.247003,1.1586969,1.6241747223932705e-16,1.1791508484575143e-13
CTSB,8.10469,2.003586,5.288021653644964e-16,3.604056553982188e-13
HLA-DPA1,8.092922,3.1359863,5.824994154363691e-16,3.890630095582596e-13
RNF149,8.03433,1.3415473,9.40912421906282e-16,6.161315929800431e-13
RPS27A,7.9696097,1.8146083,1.5917629154281638e-15,1.0222791216084416e-12
RPS8,7.9650745,2.1700897,1.6512449244528308e-15,1.0404712357929573e-12
S100A4,7.9081984,2.1475384,2.6114029494366346e-15,1.6150076462849231e-12
RPL37A,7.75988,1.829462,8.50098534427255e-15,5.161798301042293e-12
RPL37,7.6321545,1.8715649,2.3086283719206954e-14,1.3526132124326938e-11
S100A6,7.3903093,1.8005769,1.4648768741380266e-13,8.019840670280909e-11
PFKFB3,7.3743744,1.8088821,1.6511878510921585e-13,8.752868170646623e-11
RNASE1,7.315782,3.8646793,2.558862991667673e-13,1.3147044379959017e-10
TUBA1A,7.100659,2.4292781,1.2416333950353809e-12,6.282664978879027e-10
RPS6,7.0913434,1.7935113,1.3281652267317903e-12,6.620209837602219e-10
RUBCNL,7.0831304,2.0898123,1.4093383691187321e-12,6.921509437513115e-10
MNDA,7.056041,1.413976,1.7131340222423855e-12,8.291568667653145e-10
HLA-DPB1,6.895097,2.866591,5.3828101646562004e-12,2.5031936127561497e-09
VNN2,6.894729,1.8104775,5.3967523092119645e-12,2.5031936127561497e-09
RPL34,6.7712936,1.4119436,1.2763577924874897e-11,5.683365978388294e-09
HSPB1,6.64271,2.1375785,3.0796702121404034e-11,1.353271926376854e-08
PTPRE,6.605692,1.7569518,3.9566517235830916e-11,1.716056376114038e-08
SCGB1A1,6.603118,5.7101445,4.025996054598982e-11,1.7203243238652787e-08
GDF15,6.5988274,3.243489,4.144221389662467e-11,1.7300052191145967e-08
NDEL1,6.526507,1.851717,6.732122227937375e-11,2.7087464328216458e-08
PROK2,6.505301,2.6776054,7.753795997536719e-11,3.0464208368674856e-08
IL1R2,6.4973335,1.5427152,8.175610164001862e-11,3.174798570197746e-08
RPS4X,6.484095,2.7869117,8.92658851888713e-11,3.426578737663846e-08
ANXA2,6.4567604,2.6639633,1.0696805455340266e-10,4.05943767030163e-08
CXCR2,6.4255033,1.3937439,1.3143402157258447e-10,4.931877061166327e-08
RPS24,6.4050326,1.7575471,1.503370942611343e-10,5.578508444383157e-08
CFL1,6.3935103,1.0241792,1.6211986443456172e-10,5.9496208710512345e-08
MID1IP1,6.363234,2.0199766,1.975495062216017e-10,7.171047075844141e-08
RHOB,6.314816,1.7482119,2.7048335338984293e-10,9.609640499794887e-08
RPL35A,6.299494,1.641929,2.98619458316147e-10,1.049757413676426e-07
TSC22D3,6.2247214,1.5938421,4.824120895444821e-10,1.6608901177760334e-07
CHSY1,6.175323,1.979475,6.602839867977745e-10,2.2273579821311595e-07
SYAP1,6.156446,1.450387,7.439554610992988e-10,2.459914512759622e-07
COTL1,6.1310725,1.3928591,8.728864064479852e-10,2.857932787229109e-07
HSP90AB1,6.124208,1.3316699,9.113571075796429e-10,2.954920579099976e-07
RPL23,6.118692,1.3940319,9.434647507698117e-10,3.029610463145061e-07
CPPED1,6.0773835,2.0040507,1.2215930615061198e-09,3.8487096115149414e-07
SMAP2,6.061081,1.3519224,1.3520988359000817e-09,4.2200647405344976e-07
CALM1,6.0551972,1.8213503,1.4024584730308664e-09,4.296926895902643e-07
TMSB4X,6.0468616,0.6716457,1.4769431386527287e-09,4.4839993689496845e-07
UBC,6.040488,1.4059918,1.536489930546121e-09,4.622758353199843e-07
MYL6,5.997586,1.2454178,2.002726208564316e-09,5.97170039832267e-07
KLF2,5.97209,1.6250235,2.3423372562880115e-09,6.922539381503931e-07
EEF1A1,5.9465938,1.6847634,2.73780041556131e-09,8.020314270007501e-07
TPM4,5.875744,1.2610877,4.209487056560188e-09,1.2118968081110694e-06
JAML,5.8705955,1.7661391,4.342321861073172e-09,1.239454537370937e-06
NR4A3,5.7996235,1.5064899,6.6464024522985774e-09,1.8810445448895196e-06
PTP4A1,5.7592955,1.8128663,8.44657543595715e-09,2.3704355736069325e-06
ADAM8,5.7542696,1.4813074,8.701710781026467e-09,2.4216861103596657e-06
RPL15,5.737967,1.8907506,9.581979058997009e-09,2.6016241679208463e-06
GNAS,5.71909,1.5026504,1.0709601454277954e-08,2.884337501347311e-06
IL1B,5.7146773,1.4460027,1.0991240524471096e-08,2.9365077484418936e-06
ACTG1,5.6618466,1.0566567,1.4975278537216756e-08,3.937908677392841e-06
ALPL,5.660008,2.4894948,1.513661109188104e-08,3.949236437691087e-06
RPL32,5.654492,1.5476125,1.5630803677087724e-08,4.046560617054431e-06
RPL38,5.5711393,1.477856,2.530789489181571e-08,6.402897407629376e-06
NPC2,5.562191,1.4068607,2.6640831989124927e-08,6.689452820367038e-06
PIGR,5.5588813,5.175854,2.715089268514461e-08,6.766650836664846e-06
