names,scores,logfoldchanges,pvals,pvals_adj
SFTPB,18.682392,3.2525551,6.886192066008364e-78,2.2997127023641528e-73
MT-ND3,17.43682,0.55928093,4.335356142751979e-68,7.239177687167254e-64
HLA-DRA,17.003466,1.7133948,7.740459447098304e-65,8.616679456509832e-61
MT-ATP6,14.735077,0.47836798,3.8376243264186905e-49,2.1360217000846432e-45
HLA-DRB1,13.262745,1.4381592,3.807027087214552e-40,1.2713947660461715e-36
MT-CO2,12.61329,0.3093216,1.7838870024854815e-36,4.964557527917095e-33
MT-CO3,11.617541,0.32432428,3.356557426005671e-31,8.622737830683492e-28
SCGB1A1,11.206003,3.9009502,3.810120878412232e-29,9.088771203961065e-26
NPC2,10.711157,2.1231937,9.022752504697271e-27,1.7724931920404122e-23
RPS4X,10.178333,0.67295974,2.4776912193765805e-24,4.137248798115014e-21
SCGB3A2,10.020923,3.0610719,1.2334586272252292e-23,1.96155163403875e-20
CD74,9.955677,0.65470153,2.381959310651944e-23,3.615814233569651e-20
MT-ND4,9.666074,0.2686175,4.201886645272618e-22,5.613048256220974e-19
IFI6,9.487499,1.2755669,2.3664375196870685e-21,2.9270202743507164e-18
GDF15,8.908443,4.425619,5.175416381279068e-19,5.761273515639859e-16
IL1B,8.701498,2.7844844,3.275312244196189e-18,3.4181977408492476e-15
XIST,8.081464,28.959686,6.399403593967557e-16,5.342862060603513e-13
MT-CYB,7.552793,0.29171136,4.2602152401647565e-14,2.9035540440926982e-11
CTSB,7.517168,1.0072783,5.597541834610913e-14,3.738710142173321e-11
S100A11,7.374668,0.88277817,1.6475478244054826e-13,1.0581059066124134e-10
ACTB,7.288658,0.38325697,3.130576558342226e-13,1.9008860862253997e-10
CCL4L2,7.151912,1.233822,8.557733479707169e-13,4.927483918763804e-10
RNASE1,7.1087317,2.3335109,1.1711400142363757e-12,6.518565319239667e-10
PIGR,7.019419,3.8353872,2.2279225904426223e-12,1.1625578567253408e-09
PLAC8,6.593421,0.9777496,4.298062338869157e-11,2.0505441409839197e-08
OLR1,6.5291257,2.353329,6.615471856506028e-11,3.068476362776046e-08
HLA-DPA1,6.4837437,0.8095144,8.947405639743617e-11,3.9316784045378656e-08
CST3,6.396983,1.2849813,1.5847687607448313e-10,6.785248401773638e-08
CCL4,6.212754,0.78764606,5.206393338240439e-10,2.0948519508900926e-07
CXCL8,6.1048284,1.6448935,1.0291122712347726e-09,3.905481069335962e-07
ACTG1,6.0577955,0.48205456,1.3799978355492845e-09,5.120711968444878e-07
CXCL17,6.044336,2.9272707,1.5002662036731191e-09,5.49348479439058e-07
SLC34A2,5.9567246,3.4769504,2.573434466578329e-09,8.952335150609362e-07
CTSH,5.8752675,1.7414322,4.2216119218810324e-09,1.4240904216478683e-06
HLA-DPB1,5.8484488,0.8067077,4.961787200028906e-09,1.6570384533216534e-06
ELF3,5.8275843,2.616775,5.62355319528683e-09,1.8226641610256084e-06
ANXA2,5.790608,0.79120755,7.013203105387252e-09,2.209555951957667e-06
KLF2,5.73602,0.66425645,9.69272934510401e-09,2.9972073074916067e-06
KLRF1,5.629345,0.87375724,1.80895129205155e-08,5.299275206083646e-06
PLAUR,5.533528,1.3238631,3.138529174426701e-08,8.958488915312317e-06
TXNIP,5.4885964,0.8101202,4.051399720876989e-08,1.127504542320066e-05
CX3CR1,5.300715,0.8632097,1.1535015880383672e-07,3.033255042057426e-05
NAPSA,5.1834326,2.9270034,2.1783895744440105e-07,5.5533968113078e-05
FCGR3A,5.1648197,0.7237533,2.4067096578811927e-07,5.9980952040746495e-05
CLDN4,5.109781,1.9957339,3.225324601892756e-07,7.920069147412535e-05
SCGB3A1,5.0971723,3.515943,3.4476476456602733e-07,8.404207355800765e-05
G0S2,5.0952706,2.4328043,3.482430558085128e-07,8.42748195056601e-05
TPSB2,5.073005,1.4335798,3.9158174518553414e-07,9.274655292351842e-05
SH2D1B,5.045586,1.074017,4.52133446070985e-07,0.00010485728170129595
ALDH2,4.969983,2.9522114,6.695876355020444e-07,0.00015007750788742467
KLRB1,4.8242807,0.8076816,1.4050926732559222e-06,0.0003047043825717843
SFTPA1,4.705598,1.4418082,2.5312319472226684e-06,0.0005350191272749888
CXCL2,4.665069,1.4925625,3.085129912205462e-06,0.000643943740925085
ATF3,4.495701,0.8874136,6.93412361559044e-06,0.0013757371622576196
ARRDC3,4.427653,1.025114,9.526401596061707e-06,0.0018496727191981207
TACSTD2,4.376317,2.432142,1.2070145109589897e-05,0.0023300263935252265
HSPA1B,4.327933,0.6318956,1.5051519128288392e-05,0.0027925585156017728
FTL,4.3038664,0.3390511,1.6784305113735818e-05,0.0030629981069853623
TPT1,4.3004637,0.17978284,1.7044099956665478e-05,0.003093504142134784
SERPINA1,4.2712436,1.234652,1.943861579077687e-05,0.0033988063505171954
APLP2,4.196491,0.7474997,2.7108228608211343e-05,0.00452653201299913
HSPB1,4.1763268,0.5090857,2.9625409398511035e-05,0.004873365363938579
RAC2,4.1459055,0.27284622,3.384734097887004e-05,0.0054872126181084654
SLPI,4.09547,2.313321,4.213125013934161e-05,0.006674082051206249
DDX3X,3.9873443,0.41419458,6.681700358149412e-05,0.010177089558195379
FCER1G,3.9405615,0.6242087,8.129107400081606e-05,0.012124685340605906
SFTPA2,3.877017,0.81002545,0.00010574494577156241,0.015316006693274632
EFNA1,3.8330863,2.4735115,0.00012654554728815692,0.017910911474285373
TMED10,3.8330362,0.5563098,0.000126571299195453,0.017910911474285373
IFITM3,3.6863334,0.6382726,0.0002275082355127867,0.030150258068194543
MYL12A,3.6723237,0.4596318,0.00024035504729610926,0.03172686624308642
DDX17,3.6591644,0.4470436,0.00025303899140998766,0.0328812846580854
PPP1R18,3.6359482,0.49849805,0.0002769600760805918,0.03557445654149016
CTSC,3.5418823,0.55346584,0.0003972828599201777,0.048958149040200204
TPPP3,3.527272,3.7878153,0.00041986526762438837,0.051550810579353214
CYB5A,3.5233192,1.3862021,0.00042617777885619733,0.05204207395984927
ARHGAP25,3.5009034,0.8761097,0.00046368375313584156,0.055702095754404914
CCL18,3.4848924,0.8992344,0.0004923352471898517,0.05830506352890882
GRN,3.4797387,0.84762806,0.0005019031454898648,0.05881248226940184
GZMA,3.4678802,0.4502499,0.0005245808330817808,0.06104146864668695
XBP1,3.4265513,0.5832265,0.0006112981241038656,0.06967546809751773
DUSP1,3.4038355,0.38673943,0.0006644676894399222,0.07547810529433892
PTP4A2,3.391727,0.36860242,0.0006945361346528007,0.07836057011103018
C5AR1,3.3686109,2.0879965,0.0007554803495014493,0.08438134365200803
CEACAM6,3.3612556,2.0798125,0.0007758898579266812,0.08608510862232374
CD24,3.3314347,3.9313996,0.0008639956470234688,0.09398696621496991
GPR183,3.3285327,0.8105898,0.0008730476274244416,0.09466330703073587
SFTPC,3.321878,1.516851,0.0008941377562747451,0.09663632527039284
ARL5B,3.319076,0.75682247,0.0009031582928950442,0.0972963688694287
CD47,3.212151,0.43853936,0.0013174505735717482,0.13621541595975883
SELENBP1,3.1865833,3.5518928,0.001439640762016417,0.14747927266349775
CD164,3.1299436,0.48373154,0.001748399261157755,0.17123032764112725
CHST2,3.121888,1.1773323,0.001796953736627527,0.1749593789749647
