names,scores,logfoldchanges,pvals,pvals_adj
HLA-B,16.780561,1.4615782,3.386244204296991e-63,1.130870114467023e-58
TPT1,13.265783,0.75063586,3.6558221771640804e-40,2.0348306238095272e-36
IFI6,12.767974,2.2673767,2.4751376344833243e-37,1.0332462055150637e-33
B2M,11.434788,0.6244098,2.802211120837515e-30,5.504861328911156e-27
HERPUD1,10.25646,1.0002639,1.1069042471411995e-24,1.320220508483125e-21
HLA-DRB1,9.648495,1.0376937,4.9882563042255815e-22,4.164695188397938e-19
DNAJB9,8.177301,1.187493,2.9027156004920273e-16,1.29252120258709e-13
RPS27A,7.4811797,0.54770136,7.365830306400843e-14,2.236266081023296e-11
SRGN,7.3054137,0.8324777,2.7641505507156936e-13,7.566522278008305e-11
CXCR4,7.213903,0.9335939,5.437053666086179e-13,1.452606753860912e-10
JUND,7.139009,0.5448891,9.400605838214818e-13,2.3965086455955886e-10
SERPINB9,7.137371,1.5467665,9.513291378717733e-13,2.406862718815587e-10
MT-CYB,6.6590652,0.43463778,2.7557449006863726e-11,5.544027512248319e-09
DDX3X,6.4532638,1.2214489,1.094666953449182e-10,2.0086537130433453e-08
SLC38A2,6.1983128,1.2228404,5.707158363331848e-10,9.076012414372876e-08
MT-RNR2,5.8244686,0.37857997,5.729464943761703e-09,7.746607743395378e-07
CDKN1A,5.4861984,0.9561767,4.106753109072074e-08,4.586927318748194e-06
RGS1,5.257929,0.80785346,1.4568694329715192e-07,1.4143491739394434e-05
ZFP36,5.1160207,0.47280657,3.120487282092392e-07,2.8318422084988457e-05
IGKC,5.0489283,0.22685815,4.4429502605440655e-07,3.8944033307383095e-05
HSP90B1,5.018659,0.36138266,5.203343519773154e-07,4.478630417173821e-05
JUN,4.92629,0.57895774,8.38055805881484e-07,6.910546097090873e-05
MT-ND2,4.790935,0.24413069,1.6600570687764475e-06,0.00012657366636725627
PDE4B,4.718226,0.9672251,2.3791020696429e-06,0.00017462086311603142
RPS29,4.5912967,0.2843643,4.405006320725872e-06,0.000301454080096232
PIGR,4.4062467,3.512984,1.0517712202634439e-05,0.0006456792586749628
VIM,4.357722,0.3819872,1.3142321847121158e-05,0.0007865608967857673
RPL31,4.1582394,0.2621838,3.207098407847034e-05,0.0016920104017134209
PRRG3,4.0717216,3.1501493,4.666694679461325e-05,0.0023330678969354854
JUNB,3.9686646,0.38025838,7.227650229978999e-05,0.003357087720172165
SLAMF7,3.9504874,0.3000253,7.799222083506305e-05,0.0035876421584129007
MCL1,3.9438562,0.42735907,8.01817711513574e-05,0.0036731830306868745
ZFP36L2,3.8542178,0.56309277,0.00011610024689708244,0.005041981593465495
SEL1L,3.7308772,0.6157193,0.0001908142687482614,0.007677630504960165
HSPA5,3.6761892,0.30110323,0.00023674404123786864,0.009087705748482599
RPS20,3.6549692,0.08895191,0.0002572128173963664,0.009706078248326613
ATP5E,3.5928698,0.25959307,0.00032705594350315124,0.011833543108592892
FAM46C,3.4867704,0.3622306,0.0004888908073921975,0.016409042616753598
NUCB2,3.4639122,0.8756757,0.0005323801373984334,0.017603333731245625
EIF1,3.462742,0.13837358,0.0005347007563921149,0.01766257810135615
MT-ND1,3.4256072,0.17860202,0.0006134267176545563,0.019717034324149722
SEC11C,3.4214725,0.22380647,0.0006228302702208465,0.01988531520487131
HLA-DRA,3.348061,0.39940113,0.0008137908481369062,0.024864921467868364
