names,scores,logfoldchanges,pvals,pvals_adj
SFTPB,36.854137,3.2852957,2.510611334896188e-297,8.384437614019309e-293
PIGR,29.081541,4.9070497,6.145709403211703e-186,6.841403707655268e-182
MT-ND3,27.571829,0.7794227,2.4228174183523047e-167,1.6182482100658713e-163
GDF15,25.023514,2.8915696,3.392046320078293e-138,1.4160097363166835e-134
SCGB3A2,23.878021,2.7105439,5.182511294380688e-126,1.4422928932261455e-122
RPS4X,23.77559,1.0493301,5.974866302599249e-125,1.534897192627727e-121
NAPSA,22.155165,2.8347063,9.301886407498644e-109,1.8273282262636747e-105
SLC34A2,21.976126,3.0258336,4.873240114619928e-107,9.041484825991507e-104
XIST,21.641403,10.268511,7.32410436088624e-104,1.2873462591376676e-100
ALOX5AP,21.454943,1.6793836,4.1061373948074045e-102,6.23311656531764e-99
SFTPA1,21.131933,2.1510868,4.046428458734276e-99,5.875414122082169e-96
HSPA1A,19.60061,1.2017695,1.5277956462489978e-85,1.7593883931769495e-82
RPS29,19.287949,0.57741255,6.781192041006762e-83,7.548822980048727e-80
HSPA1B,19.008224,1.3123726,1.4580272867108029e-80,1.5707186860320637e-77
SCGB1A1,18.736355,3.9562821,2.5019212941859546e-78,2.4574753982539456e-75
CXCL17,18.690922,2.6172168,5.8691146625401055e-78,5.60014152200541e-75
ELF3,18.621048,2.1759295,2.169252553231813e-77,1.9579556288575576e-74
SFTPC,18.548548,3.0688236,8.378577648314275e-77,7.363446819555355e-74
CLDN1,18.17671,3.4743233,7.893017558428613e-74,6.7588516508021e-71
TACSTD2,18.006153,2.3295429,1.7432832072637608e-72,1.3861591902328701e-69
CLEC5A,16.624144,2.0699635,4.659825475854393e-62,3.242073574825694e-59
IFI6,16.606276,1.2872767,6.277150523461665e-62,4.278198344520934e-59
RPS24,16.559128,0.550598,1.3757283238929477e-61,9.188764620945777e-59
RPL31,16.505743,0.5163844,3.33605233015257e-61,2.1845255611328477e-58
CCL4L2,16.252771,1.6116568,2.134937232825989e-59,1.2963338877719406e-56
