names,scores,logfoldchanges,pvals,pvals_adj
MT-ND3,32.21052,0.66528666,1.2572838737567378e-227,2.0994126123990007e-223
SFTPB,31.026396,2.742202,2.3754095587168097e-211,1.9832294405726642e-207
MT-ATP6,27.070444,0.49977005,2.1948391648163207e-161,9.667307651064767e-158
RPS4X,27.068466,0.7849566,2.3158001320073703e-161,9.667307651064767e-158
TPT1,25.586603,0.4186915,2.1505753475539004e-144,6.529146755173641e-141
MT-CO2,22.62634,0.23891439,2.3859461919506108e-113,5.691504216170185e-110
MT-CO3,20.902124,0.34701988,5.121341652440974e-97,1.0689520364057422e-93
MT-CYB,20.69713,0.44866917,3.6761896481315016e-95,7.221766440529391e-92
EEF1A1,19.896915,0.4482331,4.3274685340634764e-88,7.606323113872834e-85
RPS29,19.115892,0.29672217,1.8620800205312778e-81,2.9612392555077405e-78
FOS,18.822113,0.999698,4.976033210927283e-79,7.553618414187616e-76
SCGB1A1,18.63027,3.3356924,1.826008132777076e-77,2.5408903167593016e-74
NPC2,18.576427,2.223689,4.9861994806678865e-77,6.404581456014798e-74
MT-ND2,18.429747,0.36264476,7.583716311702935e-76,9.380214442430786e-73
MT-ND1,18.300571,0.34659111,8.188474119727911e-75,9.429733851808046e-72
CXCR4,17.427225,0.4375255,5.127482785397564e-68,5.036394561798149e-65
RPS27A,16.428818,0.31721655,1.1895617643284101e-60,1.0736920184192321e-57
HLA-DRA,16.419147,0.75523776,1.3951349403411542e-60,1.2261033280956101e-57
SCGB3A2,16.106949,2.6132743,2.280023772896805e-58,1.952401895375941e-55
GDF15,14.781668,3.393815,1.9234470863606652e-49,1.4274541976911283e-46
RPL34,14.044873,0.2273689,8.281685175765454e-45,5.4230423162718254e-42
DDX3X,13.99066,0.6194606,1.7775424486195816e-44,1.141592454117299e-41
DUSP1,13.670319,0.7247311,1.5272407435389137e-42,8.94802313530273e-40
PIGR,13.264645,4.330698,3.7117800931589765e-40,1.967596952240273e-37
MT-ND4,13.124152,0.23392156,2.3944764599954585e-39,1.230245167046282e-36
IL1B,12.919501,2.1111743,3.4939732097053403e-38,1.6669247044474223e-35
RNASE1,12.84194,2.3780074,9.545174443712085e-38,4.3077114286784975e-35
JUNB,12.56162,0.4399234,3.432325958506085e-36,1.415135280373694e-33
XIST,11.98028,9.748931,4.507991830441271e-33,1.61880532440233e-30
HLA-DRB1,11.89618,0.5948262,1.238894392831951e-32,4.3551702255806146e-30
TSC22D3,11.86147,0.5221252,1.876505866340851e-32,6.527894782533235e-30
RPL39,11.786383,0.30771932,4.5882646942344e-32,1.5635682421291022e-29
RPL31,11.590094,0.16745557,4.626269937415008e-31,1.4855664502876116e-28
ZFP36L2,10.95657,0.3496361,6.179736719743574e-28,1.7791248921772105e-25
CST3,10.506478,1.2094516,8.064955492290994e-26,2.1375972509567465e-23
RPL37A,10.363988,0.12860346,3.6156610529345537e-25,8.9443419647261e-23
CTSH,10.346846,1.3021822,4.324999350467079e-25,1.0542896226875807e-22
RPL26,10.053185,0.3146202,8.894501127862283e-24,2.0206854399053662e-21
RPL37,9.993956,0.12685604,1.6198526039322597e-23,3.6306441316054864e-21
SLC34A2,9.77904,3.0071015,1.3851777895896003e-22,2.8555183617984133e-20
RPS24,9.218243,0.09915448,3.0200837012553877e-20,5.42251157457661e-18
TPSB2,9.067611,1.5490085,1.216550753611099e-19,2.0623314196749373e-17
OLR1,8.982171,1.8199501,2.6547635340195435e-19,4.346004067750817e-17
HSPA1B,8.979127,0.53162515,2.729237190392732e-19,4.4461270834319845e-17
ELF3,8.888457,2.2514515,6.19632634392886e-19,9.861151198616878e-17
CLDN4,8.888375,2.0581036,6.200867623995522e-19,9.861151198616878e-17
S100A11,8.879395,0.44655967,6.722524598462201e-19,1.0540161102828342e-16
CCL4L2,8.866274,1.2730331,7.563453692642911e-19,1.180322894950947e-16
RPL35A,8.848161,0.09318454,8.897333093583805e-19,1.3692872626420497e-16
SCGB3A1,8.828639,3.102777,1.0595707327336174e-18,1.615772794080908e-16
RPL32,8.747401,0.124840505,2.1832206000408387e-18,3.1700363112592974e-16
CXCL17,8.723821,2.1478922,2.6896797028425174e-18,3.888508370395182e-16
DDX5,8.641819,0.26261804,5.532487215420735e-18,7.698455960257954e-16
PNRC1,8.010112,0.3420082,1.1460399326031647e-15,1.338222013608926e-13
RPL15,7.994937,0.17024799,1.296404234524311e-15,1.487790921518003e-13
RPL10A,7.966797,0.19079416,1.6283987286758552e-15,1.837229862934421e-13
RPS13,7.884639,0.10435564,3.154470316707514e-15,3.4539898589102995e-13
CXCL2,7.8248205,1.6506099,5.0838176553855205e-15,5.494471664053555e-13
CXCL8,7.8216763,1.1761243,5.212443692020585e-15,5.615315146410306e-13
NAPSA,7.813685,2.1559892,5.553986412283824e-15,5.964017049023492e-13
PLAUR,7.631274,0.8586392,2.3244450415816126e-14,2.352338382080592e-12
IFI6,7.3224134,0.4777468,2.435506302465881e-13,2.216244372674402e-11
