names,scores,logfoldchanges,pvals,pvals_adj
SFTPB,4.9183297,3.1138213,8.728584951372161e-07,0.029149982303602467
SFTPA1,4.6799617,3.571366,2.8692886109457646e-06,0.047911381225572376
RNASE1,4.505158,5.558056,6.632353300461548e-06,0.05964206028251542
HSPA6,4.473376,3.7678797,7.699431709709248e-06,0.05964206028251542
SCGB1A1,4.441593,6.545178,8.929521541878581e-06,0.05964206028251542
IFI6,4.1396604,2.6240292,3.478204875873847e-05,0.16594018576383285
GDF15,4.0760956,29.92079,4.579822412204054e-05,0.1699419436421851
PIGR,4.0760956,30.118906,4.579822412204054e-05,0.1699419436421851
CSTA,3.9171834,3.5016437,8.958960785883705e-05,0.2624441280455043
RPS4X,3.901292,1.1166732,9.568059681723323e-05,0.2624441280455043
APLP2,3.7741625,2.0850346,0.00016054611685863626,0.38297129418650117
SFTPC,3.4483926,2.8350894,0.0005639335904579284,1.0
MT-ND3,3.4245558,0.9207482,0.0006158052959856855,1.0
WFDC21P,3.3927734,2.4333842,0.0006918884500992482,1.0
NAPSA,3.3133173,3.6975467,0.0009219630012668463,1.0
CCL4L2,3.2894804,2.726634,0.0010037249536597938,1.0
S100A6,3.1861877,1.4936554,0.0014416104635249635,1.0
CHCHD2,3.1702964,1.4863614,0.001522834766629751,1.0
CXCL17,3.0749493,4.1923895,0.0021053840739289746,1.0
CAPG,3.059058,1.7324628,0.0022203416304792285,1.0
CD24,3.01933,28.955984,0.002533344496199744,1.0
SCGB3A1,2.9954932,3.3876622,0.002740014528498155,1.0
YPEL5,2.9954932,1.3600172,0.002740014528498155,1.0
NPC2,2.9478195,1.3972243,0.003200238393228806,1.0
FCER1G,2.9478195,2.1797702,0.003200238393228806,1.0
ELF3,2.8683634,29.155113,0.004126012321712152,1.0
XIST,2.8683634,28.963243,0.004126012321712152,1.0
SELENBP1,2.836581,3.6663628,0.004559940309456913,1.0
CCL3L3,2.7730162,2.441516,0.005553935444704039,1.0
IFI27,2.7253425,1.9204609,0.006423480004182375,1.0
LMNA,2.717397,1.8279108,0.00657976371604088,1.0
SCGB3A2,2.6935601,1.9744949,0.007069338712066792,1.0
TACSTD2,2.677669,3.281473,0.007413645361908115,1.0
PPP1R18,2.677669,1.2927351,0.007413645361908115,1.0
VAMP8,2.677669,1.7297088,0.007413645361908115,1.0
CLU,2.598213,2.9443223,0.009371037399263133,1.0
AFF1,2.5823216,2.6775422,0.009813806242744976,1.0
SOX4,2.5823216,1.9702437,0.009813806242744976,1.0
RPS28,2.5664306,0.8940084,0.010275122203464422,1.0
