names,scores,logfoldchanges,pvals,pvals_adj
MT-ND3,10.980263,0.8559588,4.755393451417235e-28,5.2937039901176664e-24
HSPA1B,10.136873,2.544459,3.790373552810043e-24,3.1645828792411047e-20
SFTPB,9.730387,2.4546626,2.237412048151789e-22,1.4944122552015428e-18
HSPA1A,8.434176,1.957972,3.335428458210828e-17,1.2376663198934315e-13
HLA-DRA,8.081698,1.5866047,6.387090009701797e-16,1.6407942920307784e-12
DNAJB1,7.6399636,1.5918972,2.1728296408329488e-14,5.183129906089797e-11
MT-ATP6,7.5589504,0.36254948,4.063341903409619e-14,9.046624413751177e-11
HSPB1,7.461735,1.8174136,8.539059352742477e-14,1.7823151634011734e-10
CD74,6.8943586,1.0579995,5.410832025459075e-12,9.035007316111563e-09
SCGB1A1,6.262172,4.402582,3.796514941330292e-10,5.459046110652131e-07
MT-CO2,6.2027626,0.18077722,5.548052836881984e-10,7.41131090162043e-07
PIGR,6.138805,5.9399934,8.314466104730504e-10,1.0679611924368458e-06
GDF15,6.11379,4.322907,9.729218814838693e-10,1.2033962649642703e-06
ZFP36,5.961997,0.97481287,2.4917340558094144e-09,2.7737983509270405e-06
HLA-DRB1,5.8835425,1.3032926,4.015771660331954e-09,4.326151947369224e-06
HSP90AA1,5.7331705,0.8497434,9.857035568583905e-09,1.0042438334786411e-05
CCL4L2,5.7320337,2.2718527,9.923358038326493e-09,1.0042438334786411e-05
MT-ND4,5.650168,0.31271487,1.602913314061539e-08,1.549818186261378e-05
FOS,5.5677333,1.3451016,2.5807434229924493e-08,2.390922798423779e-05
HSPA6,5.563185,2.3145404,2.6489442909833457e-08,2.390922798423779e-05
SFTPA1,5.547551,2.4377654,2.896984474149768e-08,2.545991934176464e-05
TPT1,5.539592,0.30904287,3.0317722614989685e-08,2.596129908846655e-05
RPS4X,5.5125875,0.42255872,3.535961409326025e-08,2.952174180646298e-05
IFI6,5.459716,1.4125441,4.768972012503216e-08,3.7920140316561284e-05
